CNPJ,NOME FANTASIA,SITUAÃÃO CADASTRAL,CNAE 1,CNAE 2,UF,Municipio
18583372,SABORES DO TRIGO,8,1091102,,RS,8841
18586491,MUGCLUB,8,4789001,1813099,RS,8841
18587577,AJ EQUIPAMENTOS,2,4642702,4789099,RS,8841
18606736,,8,4930201,"4930202,4930203,4930204",RS,8841
18611151,LUCIA COSMETICOS,8,4772500,"4789002,4721103,5612100,1032599,4724500,4721102",RS,8841
18620123,,8,4330405,"4330404,1412602,4781400,7420001,4322301,7911200,6190699,8219999,4399103,9602502,9609208",RS,8841
18625700,RODRIGUES REFORMAS,4,4399103,"4330405,8122200,4330404,4399199,2542000,8130300,4322301,4330403,4330402,2539001,4321500",RS,8841
18633411,,8,4712100,5611203,RS,8841
18636201,CENTRO RECREATIVO PINHEIRO,8,4723700,9329803,RS,8841
18638117,GUARAH MOURA IMPERIO DA BELEZA,8,9602501,"9609206,3212400,9602502,1529700,4772500,3299099",RS,8841
18652387,,4,4330405,4399103,RS,8841
11642241,AIRTON CABELEIREIROS LTDA,8,9602501,"4772500,9602502,4789001,4723700,5611203",RS,8841
18675341,,4,8211300,,RS,8841
18690092,TRACOS SANTA MARIA SOUVENIRS E VIAGENS,8,4782202,"4789001,4781400,4789003,4789099,7911200,4729699",RS,8841
18694086,ILSE MODA JOVEM,8,4781400,,RS,8841
18702558,A FAVARIN,2,4691500,"4645101,4645103,4646001,4651601,4651602,4672900,4673700,4679601,4679699,4692300",RS,8841
18711599,,8,4399103,"4330405,4330404,4322301,4330402",RS,8841
18713224,COMPANHIA DE DANA DE CAMARGO,8,8592901,"4781400,4763602,5611203",RS,8841
18731762,ANDREIA CABELEIREIRA,8,9602501,"4789001,4781400,9602502,4772500",RS,8841
18734360,FOFINHO & FELIZ,8,9609208,,RS,8841
18742378,MAGIC DECORACOES,2,8230001,,RS,8841
18746154,,4,5912099,"7319003,4772500",RS,8841
18768775,,4,5611204,"5611203,4723700,9329802",RS,8841
18770468,,8,4781400,,RS,8841
18775287,,2,4781400,,RS,8841
18791895,ATELIE PETIT POA,8,1412602,4789001,RS,8841
18795840,GOLD STAR IMPERMEABILIZACOES,4,4744099,"4399103,4744001",RS,8841
18827095,ESTACAO DA LUZ,8,4781400,"4755501,4755502,4755503,4782201,4789001",RS,8841
